agent_id,o_zone_id, d_zone_id, from_origin_node_id, to_destination_node_id, departure_time_in_min, arrival_time_in_min,volume,departure_time, travel_time_in_min,arrival_time,node_sequence,org_path_node_sequence,path_time_sequence
1,52405,1007255,52405,1007255,463.99,475.4,1800,0,11,13,52405;7255;1007255;,,463.90;465.19;475.40;
2,52401,1008485,52401,1008485,476.97,488.4,1800,0,11,13,52401;8485;1008485;,,476.90;478.17;488.40;
3,50209,1009151,50209,1009151,535.72,555.2,1800,0,19,21,50209;9150;9151;1009151;,,535.70;536.92;544.92;555.20;
4,50208,1009151,50208,1009151,525.58,556,1800,0,30,32,50208;8331;8332;9151;1009151;,,525.50;526.78;532.78;545.78;556.00;
5,1007290,52401,1007290,52401,439.86,487.3,1800,0,47,49,1007290;7290;7358;52401;,,439.80;441.06;477.06;487.30;
6,1028038,50103,1028038,50103,458.37,508.2,1800,0,50,52,1028038;28038;27838;50103;,,458.30;459.57;497.97;508.20;
7,50211,1007523,50211,1007523,505.2,561,1800,0,56,58,50211;8320;8345;8319;8346;7523;1007523;,,505.20;506.40;514.80;522.00;536.40;550.80;561.00;
8,1007523,50211,1007523,50211,470.53,526.4,1800,0,56,58,1007523;7523;8346;8319;8345;8320;50211;,,470.50;471.73;486.13;500.53;507.73;516.13;526.40;
9,1026562,1027134,1026562,1027134,517.99,576.2,1800,0,58,60,1026562;26562;26157;27134;1027134;,,517.90;519.19;547.99;565.99;576.20;
10,1027893,50104,1027893,50104,530.67,598.9,1800,0,68,70,1027893;27893;27877;28467;28043;50104;,,530.60;531.87;542.67;564.67;588.67;598.90;
11,52405,1007295,52405,1007295,440.22,511.7,1800,0,71,73,52405;7345;7344;7336;7280;7281;7295;1007295;,,440.20;441.42;457.02;459.42;490.42;492.42;501.42;511.70;
12,1028512,70809,1028512,70809,490.76,567,1800,0,76,78,1028512;28512;29069;29373;29995;29530;70809;,,490.70;491.96;514.76;518.76;544.76;556.76;567.00;
13,52401,1007295,52401,1007295,500.69,578.5,1800,0,78,80,52401;7358;7359;7292;7281;7295;1007295;,,500.60;501.89;505.89;531.89;559.32;568.32;578.50;
14,1009335,52405,1009335,52405,523.33,605.4,1800,0,82,84,1009335;9335;7278;7277;7275;7255;52405;,,523.30;524.53;569.53;579.53;581.93;595.13;605.40;
15,71417,1027134,71417,1027134,439.78,522,1800,0,82,84,71417;27355;26562;26157;27134;1027134;,,439.70;440.98;464.98;493.78;511.78;522.00;
16,52103,1028088,52103,1028088,499.94,583.4,1800,0,83,85,52103;27814;28088;1028088;,,499.90;501.14;573.14;583.40;
17,70923,1028527,70923,1028527,460.57,547.2,1800,0,87,89,70923;28226;28531;28537;28527;1028527;,,460.50;461.77;517.77;524.97;536.97;547.20;
18,52206,1008400,52206,1008400,474.99,562,1800,0,87,89,52206;7854;8238;7769;8037;8539;8400;1008400;,,474.90;476.19;500.19;509.79;529.79;545.79;551.79;562.00;
19,50206,1007520,50206,1007520,445.09,535.3,1800,0,90,92,50206;8174;7973;8677;7520;1007520;,,445.00;446.29;475.09;512.09;525.09;535.30;
20,1027592,50106,1027592,50106,446.77,537.4,1800,0,91,93,1027592;27592;27917;27916;50106;,,446.70;447.97;509.17;527.17;537.40;
21,1008924,52401,1008924,52401,505.62,598,1800,0,92,94,1008924;8924;9375;7280;7291;7355;52401;,,505.60;506.82;517.82;521.82;553.82;587.82;598.00;
22,1027744,70903,1027744,70903,539.24,635.9,1800,0,97,99,1027744;27744;27514;27781;28051;27782;27927;28318;70903;,,539.20;540.44;581.24;590.84;593.24;599.24;618.44;625.64;635.90;
23,1008660,50206,1008660,50206,501.11,601.3,1800,0,100,102,1008660;8660;9102;9197;9366;7972;7976;8174;50206;,,501.10;502.31;517.31;532.31;552.31;556.31;587.51;591.11;601.30;
24,1008924,1008801,1008924,1008801,445.36,546.2,1800,0,101,103,1008924;8924;9375;7338;7337;7336;7344;7345;52405;7360;8801;1008801;,,445.30;446.56;457.56;476.56;488.56;490.96;493.36;508.96;519.16;520.36;535.96;546.20;
25,50210,1009151,50210,1009151,482.04,584.5,1800,0,102,104,50210;8321;8344;8329;8322;8351;8327;8332;9151;1009151;,,482.00;483.24;519.24;539.82;543.24;551.24;558.24;561.24;574.24;584.50;
26,1007991,52206,1007991,52206,446.64,566.4,1800,0,120,122,1007991;7991;9408;9412;7597;7600;7601;7717;7718;8227;52206;,,446.60;447.84;463.84;466.24;474.64;505.84;508.24;519.04;548.18;556.18;566.40;
27,1007746,52304,1007746,52304,442.72,563.7,1800,0,121,123,1007746;7746;8946;7570;8944;8133;7670;7671;52304;,,442.70;443.92;478.72;490.72;495.52;506.32;525.52;553.52;563.70;
28,1008486,1007295,1008486,1007295,436.64,557.9,1800,0,121,123,1008486;8486;9425;7277;7275;7255;52405;7345;7344;7336;7280;7281;7295;1007295;,,436.60;437.84;451.04;460.64;463.04;476.24;486.44;487.64;503.24;505.64;536.64;538.64;547.64;557.90;
29,50104,1029932,50104,1029932,459.98,585.4,1800,0,125,127,50104;139277;28458;29981;28460;28346;28465;28464;149160;149156;149157;29932;1029932;,,459.90;461.18;480.38;495.98;512.78;515.18;529.18;532.18;538.18;554.18;557.18;575.18;585.40;
30,1029556,1027134,1029556,1027134,488.84,618.5,1800,0,130,132,1029556;29556;26299;26171;26533;71417;27355;26562;26157;27134;1027134;,,488.80;490.04;503.24;521.24;526.04;536.24;537.44;561.44;590.24;608.24;618.50;
31,70808,1148796,70808,1148796,489.35,619.2,1800,0,130,132,70808;28509;29618;29032;29070;139021;148796;1148796;,,489.30;490.55;536.55;562.55;582.55;593.35;608.95;619.20;
32,1007525,50211,1007525,50211,527.43,660.9,1800,0,133,135,1007525;7525;8323;8350;9157;7803;9298;9297;9124;9123;8231;50211;,,527.40;528.63;548.63;557.63;565.63;583.63;590.63;593.63;606.63;610.63;650.63;660.90;
33,1008522,50104,1008522,50104,520.16,655.2,1800,0,135,137,1008522;8522;7749;27759;27734;27931;27952;27944;27836;139277;50104;,,520.10;521.36;538.16;550.16;575.36;589.76;595.76;605.36;626.96;644.96;655.20;
34,1029707,71603,1029707,71603,485.85,621.7,1800,0,136,138,1029707;29707;29709;29705;28740;28708;71603;,,485.80;487.05;518.25;531.45;571.45;611.45;621.70;
35,1029707,71603,1029707,71603,456.34,592.2,1800,0,136,138,1029707;29707;29709;29705;28740;28708;71603;,,456.30;457.54;488.74;501.94;541.94;581.94;592.20;
36,70902,1028539,70902,1028539,492.12,630.7,1800,0,139,141,70902;29492;29477;29405;28582;28533;28539;1028539;,,492.10;493.32;513.32;559.32;579.72;604.92;620.52;630.70;
37,1008660,50205,1008660,50205,438.72,578.2,1800,0,139,141,1008660;8660;9102;9197;9366;7595;8188;7590;8683;50205;,,438.70;439.92;454.92;469.92;489.92;501.92;531.92;563.92;567.92;578.20;
38,71603,1029708,71603,1029708,474.38,615,1800,0,141,143,71603;28708;28740;29705;29710;29708;1029708;,,474.30;475.58;515.58;555.58;569.98;604.78;615.00;
