name,node_id,zone_id,control_type,control_type_name,cycle_length_in_second,x,y,geometry
,6463,6463,0,unknown_control,0,495426.9523,311650.2281,"<Point><coordinates>495426.952277,311650.228064</coordinates></Point>"
,7252,7252,0,unknown_control,0,496173.3886,310952.2186,"<Point><coordinates>496173.388613,310952.218552</coordinates></Point>"
,7254,7254,0,unknown_control,0,495797.1367,310906.208,"<Point><coordinates>495797.136693,310906.208046</coordinates></Point>"
,7255,7255,0,unknown_control,0,495768.2528,310846.4745,"<Point><coordinates>495768.252753,310846.474486</coordinates></Point>"
,7257,7257,0,unknown_control,0,495981.1796,310592.7011,"<Point><coordinates>495981.179563,310592.701055</coordinates></Point>"
,7259,7259,0,unknown_control,0,496495.0485,310879.513,"<Point><coordinates>496495.048532,310879.512958</coordinates></Point>"
,7260,7260,0,unknown_control,0,496515.3917,310838.9611,"<Point><coordinates>496515.391691,310838.961087</coordinates></Point>"
,7261,7261,0,unknown_control,0,496469.5758,310868.1224,"<Point><coordinates>496469.575750,310868.122438</coordinates></Point>"
,7262,7262,0,unknown_control,0,496421.2049,310826.6531,"<Point><coordinates>496421.204855,310826.653099</coordinates></Point>"
,7263,7263,0,unknown_control,0,496243.1901,310728.0756,"<Point><coordinates>496243.190070,310728.075598</coordinates></Point>"
,7264,7264,0,unknown_control,0,496239.6079,310761.6047,"<Point><coordinates>496239.607872,310761.604653</coordinates></Point>"
,7265,7265,0,unknown_control,0,496218.4762,310698.258,"<Point><coordinates>496218.476225,310698.258027</coordinates></Point>"
,7266,7266,0,unknown_control,0,496256.3497,310717.976,"<Point><coordinates>496256.349733,310717.975960</coordinates></Point>"
,7267,7267,0,unknown_control,0,496072.4013,310633.9155,"<Point><coordinates>496072.401285,310633.915544</coordinates></Point>"
,7269,7269,0,unknown_control,0,496845.9112,311047.0261,"<Point><coordinates>496845.911194,311047.026142</coordinates></Point>"
,7273,7273,0,unknown_control,0,495850.6341,310415.4911,"<Point><coordinates>495850.634101,310415.491148</coordinates></Point>"
,7274,7274,0,unknown_control,0,495837.1925,310416.2779,"<Point><coordinates>495837.192527,310416.277949</coordinates></Point>"
,7275,7275,0,unknown_control,0,495751.9182,310953.1114,"<Point><coordinates>495751.918183,310953.111379</coordinates></Point>"
,7276,7276,0,unknown_control,0,495784.6955,310990.1681,"<Point><coordinates>495784.695486,310990.168081</coordinates></Point>"
,7277,7277,0,unknown_control,0,495749.0706,310976.2073,"<Point><coordinates>495749.070613,310976.207333</coordinates></Point>"
,7278,7278,0,unknown_control,0,495755.2173,311022.7424,"<Point><coordinates>495755.217269,311022.742405</coordinates></Point>"
,7279,7279,0,unknown_control,0,495841.0897,310624.7346,"<Point><coordinates>495841.089718,310624.734556</coordinates></Point>"
,7280,7280,0,unknown_control,0,495102.7367,310215.9206,"<Point><coordinates>495102.736704,310215.920554</coordinates></Point>"
,7281,7281,0,unknown_control,0,495095.5992,310214.3162,"<Point><coordinates>495095.599226,310214.316234</coordinates></Point>"
,7282,7282,0,unknown_control,0,495770.3704,311004.2665,"<Point><coordinates>495770.370355,311004.266480</coordinates></Point>"
,7283,7283,0,unknown_control,0,496287.0685,310762.6307,"<Point><coordinates>496287.068480,310762.630674</coordinates></Point>"
,7284,7284,0,unknown_control,0,496353.0838,310779.3275,"<Point><coordinates>496353.083843,310779.327468</coordinates></Point>"
,7285,7285,0,unknown_control,0,496430.3879,310797.6684,"<Point><coordinates>496430.387942,310797.668421</coordinates></Point>"
,7286,7286,0,unknown_control,0,496640.0272,310917.7517,"<Point><coordinates>496640.027162,310917.751723</coordinates></Point>"
,7287,7287,0,unknown_control,0,496337.5853,310786.8898,"<Point><coordinates>496337.585313,310786.889782</coordinates></Point>"
,7288,7288,0,unknown_control,0,496290.555,310784.9039,"<Point><coordinates>496290.555012,310784.903888</coordinates></Point>"
,7290,7290,0,unknown_control,0,494983.7578,310687.6483,"<Point><coordinates>494983.757768,310687.648324</coordinates></Point>"
,7291,7291,0,unknown_control,0,495067.1526,310367.5008,"<Point><coordinates>495067.152566,310367.500760</coordinates></Point>"
,7292,7292,0,unknown_control,0,495057.739,310365.858,"<Point><coordinates>495057.738961,310365.857976</coordinates></Point>"
,7293,7293,0,unknown_control,0,495849.7284,310220.8536,"<Point><coordinates>495849.728374,310220.853603</coordinates></Point>"
,7295,7295,0,unknown_control,0,495010.7804,310196.0337,"<Point><coordinates>495010.780419,310196.033710</coordinates></Point>"
,7296,7296,0,unknown_control,0,495655.746,310425.3231,"<Point><coordinates>495655.746032,310425.323141</coordinates></Point>"
,7297,7297,0,unknown_control,0,495844.0576,310313.8936,"<Point><coordinates>495844.057644,310313.893608</coordinates></Point>"
,7328,7328,0,unknown_control,0,495789.4773,310960.6554,"<Point><coordinates>495789.477337,310960.655414</coordinates></Point>"
,7330,7330,0,unknown_control,0,495964.4124,310644.245,"<Point><coordinates>495964.412431,310644.244997</coordinates></Point>"
,7331,7331,0,unknown_control,0,495831.7107,310685.4286,"<Point><coordinates>495831.710691,310685.428565</coordinates></Point>"
,7336,7336,0,unknown_control,0,495398.5493,310298.68,"<Point><coordinates>495398.549284,310298.680013</coordinates></Point>"
,7337,7337,0,unknown_control,0,495399.4647,310286.3678,"<Point><coordinates>495399.464660,310286.367807</coordinates></Point>"
,7338,7338,0,unknown_control,0,495285.7203,310248.0733,"<Point><coordinates>495285.720302,310248.073314</coordinates></Point>"
,7339,7339,0,unknown_control,0,495400.4106,310273.6559,"<Point><coordinates>495400.410557,310273.655854</coordinates></Point>"
,7343,7343,0,unknown_control,0,495560.982,310383.8659,"<Point><coordinates>495560.982027,310383.865877</coordinates></Point>"
,7344,7344,0,unknown_control,0,495397.3878,310310.8924,"<Point><coordinates>495397.387770,310310.892435</coordinates></Point>"
,7345,7345,0,unknown_control,0,495384.6088,310441.042,"<Point><coordinates>495384.608831,310441.041951</coordinates></Point>"
,7346,7346,0,unknown_control,0,496864.8386,311000.8196,"<Point><coordinates>496864.838606,311000.819610</coordinates></Point>"
,7355,7355,0,unknown_control,0,495028.6282,310536.2914,"<Point><coordinates>495028.628180,310536.291429</coordinates></Point>"
,7358,7358,0,unknown_control,0,495025.7823,310511.6999,"<Point><coordinates>495025.782280,310511.699948</coordinates></Point>"
,7359,7359,0,unknown_control,0,495029.432,310495.4186,"<Point><coordinates>495029.432026,310495.418597</coordinates></Point>"
,7360,7360,0,unknown_control,0,495370.2105,310588.2709,"<Point><coordinates>495370.210474,310588.270927</coordinates></Point>"
