link_id,link_key,from_node_id,to_node_id,link_type_name,direction,,length,number_of_lanes,speed_limit,lane_cap,link_type,jam_density,wave_speed,demand_type_code,mode_code,network_design_flag,grade,geometry,original_geometry,map_matching_orientation_code,map_matching_loop_code
8538,8538_AB,7282,6463,Freeway,1,0.786,79 ,1,80,2000,21,220,12,,Car;Coa;D;F;HGV;LGV;T,"<LineString><coordinates>495770.370355,311004.266480,0.0 495762.565878,311073.773773,0.0 495752.483348,311194.527676,0.0 495747.043323,311256.608711,0.0 495739.494427,311342.314956,0.0 495734.063580,311365.472333,0.0 495727.061526,311383.823848,0.0 495712.343379,311408.515423,0.0 495697.559658,311425.842044,0.0 495681.483171,311441.230738,0.0 495640.965868,311473.691876,0.0 495539.212803,311554.865926,0.0 495461.717944,311620.077641,0.0 495426.952277,311650.228064,0.0</coordinates></LineString>","<LineString><coordinates>495770.370355,311004.266480,0.0 495762.565878,311073.773773,0.0 495752.483348,311194.527676,0.0 495747.043323,311256.608711,0.0 495739.494427,311342.314956,0.0 495734.063580,311365.472333,0.0 495727.061526,311383.823848,0.0 495712.343379,311408.515423,0.0 495697.559658,311425.842044,0.0 495681.483171,311441.230738,0.0 495640.965868,311473.691876,0.0 495539.212803,311554.865926,0.0 495461.717944,311620.077641,0.0 495426.952277,311650.228064,0.0</coordinates></LineString>",,,,
9317,9317_AB,7259,7261,,1,0.028,3 ,1,50,2000,70,190,12,,Car;Coa;Cyc;D;F;HGV;LGV;Ped;T,"<LineString><coordinates>496495.048532,310879.512958,0.0 496469.575750,310868.122438,0.0</coordinates></LineString>","<LineString><coordinates>496495.048532,310879.512958,0.0 496469.575750,310868.122438,0.0</coordinates></LineString>",,,,
9318,9318_AB,7261,7262,Local,1,0.064,6 ,1,30,600,82,190,12,,Car;Coa;Cyc;D;F;HGV;LGV;Ped;T,"<LineString><coordinates>496469.575750,310868.122438,0.0 496421.204855,310826.653099,0.0</coordinates></LineString>","<LineString><coordinates>496469.575750,310868.122438,0.0 496421.204855,310826.653099,0.0</coordinates></LineString>",,,,
9319,9319_AB,7252,7264,Local,1,0.203,20 ,1,30,600,82,190,12,,Car;Coa;Cyc;D;F;HGV;LGV;Ped;T,"<LineString><coordinates>496173.030872,310952.094273,0.0 496177.631064,310925.290111,0.0 496180.542987,310905.222239,0.0 496181.769287,310897.217044,0.0 496182.996825,310891.680178,0.0 496185.177423,310885.273424,0.0 496196.359378,310857.426689,0.0 496239.250131,310761.480374,0.0</coordinates></LineString>","<LineString><coordinates>496173.388613,310952.218552,0.0 496177.988805,310925.414390,0.0 496180.900728,310905.346518,0.0 496182.127027,310897.341323,0.0 496183.354566,310891.804457,0.0 496185.535164,310885.397703,0.0 496196.717119,310857.550968,0.0 496239.607872,310761.604653,0.0</coordinates></LineString>",,,,
9319,9319_AB,7264,7252,Local,1,0.203,20 ,1,30,600,82,190,12,,Car;Coa;Cyc;D;F;HGV;LGV;Ped;T,"<LineString><coordinates>496239.965613,310761.728933,0.0 496197.074859,310857.675247,0.0 496185.892904,310885.521982,0.0 496183.712307,310891.928737,0.0 496182.484768,310897.465603,0.0 496181.258468,310905.470797,0.0 496178.346546,310925.538669,0.0 496173.746354,310952.342831,0.0</coordinates></LineString>","<LineString><coordinates>496239.607872,310761.604653,0.0 496196.717119,310857.550968,0.0 496185.535164,310885.397703,0.0 496183.354566,310891.804457,0.0 496182.127027,310897.341323,0.0 496180.900728,310905.346518,0.0 496177.988805,310925.414390,0.0 496173.388613,310952.218552,0.0</coordinates></LineString>",,,,
9320,9320_AB,7265,7263,Local,1,0.039,4 ,1,30,600,82,190,12,,Car;Coa;Cyc;D;F;HGV;LGV;Ped;T,"<LineString><coordinates>496218.476225,310698.258027,0.0 496243.190070,310728.075598,0.0</coordinates></LineString>","<LineString><coordinates>496218.476225,310698.258027,0.0 496243.190070,310728.075598,0.0</coordinates></LineString>",,,,
9321,9321_AB,7257,7267,,1,0.1,10 ,1,50,2000,70,190,12,,Car;Coa;Cyc;D;F;HGV;LGV;Ped;T,"<LineString><coordinates>495981.179563,310592.701055,0.0 495995.424617,310599.608872,0.0 496018.468940,310610.789215,0.0 496021.976345,310612.486233,0.0 496039.635880,310620.001938,0.0 496072.401285,310633.915544,0.0</coordinates></LineString>","<LineString><coordinates>495981.179563,310592.701055,0.0 495995.424617,310599.608872,0.0 496018.468940,310610.789215,0.0 496021.976345,310612.486233,0.0 496039.635880,310620.001938,0.0 496072.401285,310633.915544,0.0</coordinates></LineString>",,,,
9322,9322_AB,7267,7265,,1,0.16,16 ,1,50,2000,70,190,12,,Car;Coa;Cyc;D;F;HGV;LGV;Ped;T,"<LineString><coordinates>496072.401285,310633.915544,0.0 496218.476225,310698.258027,0.0</coordinates></LineString>","<LineString><coordinates>496072.401285,310633.915544,0.0 496218.476225,310698.258027,0.0</coordinates></LineString>",,,,
9323,9323_AB,7265,7266,,1,0.043,4 ,1,50,2000,70,190,12,,Car;Coa;Cyc;D;F;HGV;LGV;Ped;T,"<LineString><coordinates>496218.476225,310698.258027,0.0 496256.349733,310717.975960,0.0</coordinates></LineString>","<LineString><coordinates>496218.476225,310698.258027,0.0 496256.349733,310717.975960,0.0</coordinates></LineString>",,,,
9326,9326_AB,7330,7257,Local,1,0.055,6 ,1,30,600,82,190,12,,Car;Coa;Cyc;D;F;HGV;LGV;Ped;T,"<LineString><coordinates>495964.412431,310644.244997,0.0 495967.541163,310627.864438,0.0 495968.644782,310620.868594,0.0 495970.578989,310614.052189,0.0 495973.620047,310606.335809,0.0 495977.768324,310598.408988,0.0 495981.179563,310592.701055,0.0</coordinates></LineString>","<LineString><coordinates>495964.412431,310644.244997,0.0 495967.541163,310627.864438,0.0 495968.644782,310620.868594,0.0 495970.578989,310614.052189,0.0 495973.620047,310606.335809,0.0 495977.768324,310598.408988,0.0 495981.179563,310592.701055,0.0</coordinates></LineString>",,,,
